,_id,deviceType,deviceFirmwareVersion,deviceMACAddress,deviceAnimalID,__v
126,63ed1020a9f1a40025795579,CARAVANA,2.2.0,15B6C96C56CC,63ed101fa9f1a40025795575,0
127,63ed1026a9f1a4002579559c,CARAVANA,2.2.0,79F82F3CD2FC,63ed1026a9f1a40025795595,0
128,63ed1031a9f1a400257955f6,CARAVANA,2.2.0,ACB20B1433EC,63ed1031a9f1a400257955ee,0
129,63ed1039a9f1a40025795631,CARAVANA,2.2.0,611E4D12A5D5,63ed1039a9f1a40025795629,0
130,63ed1042a9f1a4002579567b,CARAVANA,2.2.0,07FDB1987FEB,63ed1042a9f1a40025795670,0
131,63ed104aa9f1a400257956bb,CARAVANA,2.2.0,DE8EBBEFEAFC,63ed104aa9f1a400257956b1,0
132,63ed1054a9f1a40025795713,CARAVANA,2.2.0,E6826060DECF,63ed1054a9f1a40025795708,0
133,63ed105ea9f1a4002579575f,CARAVANA,2.2.0,A37831CEE8FD,63ed105ea9f1a4002579575a,0
134,63ed1065a9f1a40025795793,CARAVANA,2.2.0,92EEEAA9E9CE,63ed1065a9f1a4002579578f,0
135,63ed1071a9f1a400257957f0,CARAVANA,2.2.0,469E01928DD0,63ed1070a9f1a400257957ec,0
136,63ed1074a9f1a40025795810,CARAVANA,2.2.0,5356DBD346FC,63ed1073a9f1a4002579580a,0
137,63ed1084a9f1a40025795889,CARAVANA,2.2.0,52F35BF7D8D9,63ed1084a9f1a40025795885,0
138,63ed1084a9f1a40025795894,CARAVANA,2.2.0,1D3D6982E3F1,63ed1084a9f1a40025795890,0
139,63ed10b5a9f1a4002579592f,CARAVANA,2.2.0,7EC7BAC86DD1,63ed10b5a9f1a4002579592b,0
140,63ed10c5a9f1a4002579597b,CARAVANA,2.2.0,8F8D733333C1,63ed10c5a9f1a40025795977,0
141,63ed10d5a9f1a400257959c9,CARAVANA,2.2.0,98683A7FBBD1,63ed10d5a9f1a400257959c5,0
142,63ed134ca9f1a40025795ea5,COLLAR,2.1.0,0004A30B00F8A181,63ed1054a9f1a40025795708,0
143,63ed138fa9f1a40025795eb1,COLLAR,2.1.0,0004A30B00F869B4,63ed0d7ca9f1a400257942d7,0
144,63ed13d9a9f1a40025795ec7,COLLAR,2.1.0,0004A30B00F82E81,63ed0e71a9f1a40025794898,0
145,63ed13f6a9f1a40025795edd,COLLAR,2.1.0,0004A30B00F841E4,63ed0eb2a9f1a40025794ac8,0
146,63ed1494a9f1a40025795f0b,COLLAR,2.1.0,0004A30B00F8B356,63ed0ddca9f1a400257944c0,0
147,63ed43f6a9f1a40025796d4f,PUNTO FIJO,2.1.0,0004A30B00F86440,63ed43f6a9f1a40025796d50,0
148,63ed4404a9f1a40025796d70,PUNTO FIJO,2.1.0,0004A30B00F860CC,63ed4404a9f1a40025796d71,0
149,63ed440da9f1a40025796d84,PUNTO FIJO,2.1.0,0004A30B00F89C5D,63ed440da9f1a40025796d85,0
150,63ee52afa9f1a40025797d90,CARAVANA,2.2.0,3081C1D6D5D7,63ee52afa9f1a40025797d8c,0
151,63f8b232110f66003023d9d5,PUNTO FIJO,222777,PRUEBA,63f8b232110f66003023d9d6,0
152,63fc96e388939900301d7772,CARAVANA,1231231,ASDASD,63efe06ce429423750fcbb31,0
153,63fc970288939900301d77bc,PUNTO FIJO,2.1.0233,MEVBE4FED3B7594,63fc970188939900301d77b7,0
154,63fcff17db53680da4769d3a,COLLAR,1010,10101010,63ee8200476a9d00308065fb,0
155,640b79fde5142a002f656028,PUNTO FIJO,2222,0004A30B00F7FC52,640b79fde5142a002f656029,0
156,640b7a20e5142a002f656039,PUNTO FIJO,2222,0004A30B00F7FAC0,640b7a20e5142a002f65603a,0
157,640b7a4be5142a002f65604d,PUNTO FIJO,2222,0004A30B00F7927C,640b7a4be5142a002f65604e,0
158,640b7a61e5142a002f65605e,PUNTO FIJO,2222,0004A30B00F75591,640b7a61e5142a002f65605f,0
159,640b7a86e5142a002f656072,PUNTO FIJO,2222,0004A30B00F899AA,640b7a86e5142a002f656073,0
160,640f18d7fd164103dc37fcf7,CARAVANA,11111,11111111,63fc976e88939900301d7914,0
161,640f1bc3fd164103dc37fd68,COLLAR,11111,11111,640095b298dd6400309d7bfb,0
162,640f3287fd164103dc37feb4,COLLAR,131313,51588585,63efe06ce429423750fcbb31,0
163,640f37df4476f62638c7adbe,COLLAR,121212,12121222,640095b298dd6400309d7bfd,0
164,640f408f9c445d3fc452e655,CARAVANA,1111,11212123,63f66cc4d3575e0030304d2c,0
165,640f6ef10c8f4c1edc6768ac,CARAVANA,2222,DECF0B4CA3D6,640f6ef10c8f4c1edc6767e5,0
166,640f6ef10c8f4c1edc6768b6,CARAVANA,2222,94417248CFD1,640f6ef10c8f4c1edc6767ee,0
167,640f6ef10c8f4c1edc6768b2,CARAVANA,2222,9635C37634FC,640f6ef10c8f4c1edc6767e9,0
168,640f6ef10c8f4c1edc6768c0,CARAVANA,2222,FA6F595951FE,640f6ef10c8f4c1edc6767f8,0
169,640f6ef10c8f4c1edc6768b8,CARAVANA,2222,2E0AA69052F9,640f6ef10c8f4c1edc6767e6,0
